[(z1,37)]
[(u1,68)]
[(o2,63)]
(a9,89)
(a1,62)
(a4,57)
(a6,97)
(a7,55)
(a2,78)
(a0,71)
(b2,0)
(b1,83)
(b0,16)
(b6,80)
(b4,2)
(b5,42)
(b9,22)
(c4,27)
(c0,79)
(c1,80)
(c7,3)
(c6,93)
(c2,32)
(c9,67)
(d5,9)
(d7,72)
(d3,39)
(d2,57)
(d1,76)
(e5,47)
(e6,50)
(e4,49)
(e9,4)
(e0,10)
(e8,23)
(e3,42)
(f9,85)
(f1,28)
(f4,60)
(f3,83)
(f0,36)
(f6,7)
(f2,89)
(f7,26)
(g1,45)
(g6,47)
(g2,94)
(g8,49)
(g0,18)
(g5,56)
(g4,99)
(g3,37)
(h8,5)
(h0,1)
(h4,62)
(h9,83)
(h5,80)
(h2,81)
(h3,22)
(h1,10)
(h6,43)
(i1,65)
(i7,69)
(i4,41)
(i2,98)
(i3,86)
(i5,40)
(i9,44)
(i0,13)
(j8,60)
(j5,43)
(j0,69)
(j9,44)
(j3,52)
(j6,41)
(j2,42)
(k0,92)
(k6,51)
(k5,13)
(k3,65)
(k7,2)
(k4,73)
(k2,65)
(l0,7)
(l6,63)
(l8,22)
(l1,6)
(l4,8)
(m2,53)
(m1,66)
(m9,11)
(m4,21)
(m6,46)
(m8,9)
(n1,85)
(n7,3)
(n2,6)
(n4,49)
(n9,65)
(n5,91)
(n8,16)
(n6,44)
(n0,18)
(o4,19)
(o2,63)
(o1,32)
(o6,19)
(o0,56)
(o5,35)
(o3,61)
(o8,34)
(o7,66)
(p0,5)
(p4,58)
(p1,0)
(p3,32)
(p9,44)
(q4,35)
(q0,89)
(q1,88)
(q6,34)
(q7,71)
(q3,51)
(q2,61)
(q9,67)
(q8,45)
(q5,67)
(r7,57)
(r1,3)
(r6,65)
(r9,8)
(r5,24)
(r8,38)
(r3,66)
(r2,71)
(r0,35)
(s9,48)
(s3,62)
(s1,38)
(s0,50)
(s8,99)
(s2,73)
(s4,7)
(s6,47)
(s7,4)
(t5,98)
(t6,11)
(t2,67)
(t3,77)
(t9,82)
(t1,69)
(t8,24)
(u6,48)
(u2,95)
(u9,92)
(u7,17)
(u8,11)
(u1,68)
(u4,86)
(u5,9)
(v0,33)
(v9,67)
(v3,94)
(v8,30)
(v6,4)
(v7,100)
(v5,90)
(v4,9)
(v1,26)
(w2,12)
(w0,47)
(w5,42)
(w3,81)
(w6,36)
(w9,35)
(w7,10)
(w1,79)
(w8,22)
(x8,2)
(x9,51)
(x5,50)
(x4,97)
(x7,86)
(x1,10)
(x2,87)
(x0,56)
(x6,18)
(x3,53)
(y9,47)
(y6,69)
(y8,32)
(y5,92)
(y7,5)
(y2,91)
(y4,74)
(y0,57)
(y3,75)
(z1,37)
(z4,25)
(z6,22)
(z5,92)
(z3,74)
(z9,49)
(z7,95)
(z0,55)
[(o8,34)]
(a9,89)
(a1,62)
(a4,57)
(a6,97)
(a7,55)
(a2,78)
(a0,71)
(b2,0)
(b1,83)
(b0,16)
(b6,80)
(b4,2)
(b5,42)
(b9,22)
(c0,79)
(c1,80)
(c6,93)
(c2,32)
(c9,67)
(d5,9)
(d7,72)
(d3,39)
(d2,57)
(d1,76)
(e5,47)
(e6,50)
(e4,49)
(e9,4)
(e0,10)
(e8,23)
(e3,42)
(f9,85)
(f4,60)
(f3,83)
(f6,7)
(f2,89)
(f7,26)
(g1,45)
(g6,47)
