[(l0,91)]
[(f3,46)]
(a4,88)
(a3,63)
(a6,35)
(a1,54)
(a8,84)
(a0,82)
(a5,21)
(a9,4)
(a2,21)
(a7,13)
(b1,93)
(b4,96)
(b2,85)
(b9,42)
(b6,77)
(b0,26)
(c9,67)
(c1,18)
(c8,73)
(c6,23)
(c5,79)
(c0,10)
(c4,77)
(c3,37)
(c7,63)
(d1,97)
(d2,18)
(d7,47)
(d8,81)
(d5,88)
(d3,16)
(d0,53)
(e6,47)
(e2,8)
(e8,34)
(e1,59)
(e5,49)
(e4,68)
(e3,91)
(e7,4)
(f3,46)
(f5,99)
(f6,65)
(f9,51)
(f8,28)
(f1,77)
(f7,5)
(g7,67)
(g3,52)
(g2,25)
(g8,61)
(g9,13)
(g0,85)
(g6,84)
(g4,54)
(g5,62)
(h5,97)
(h2,7)
(h9,39)
(h4,27)
(h8,81)
(h6,56)
(h3,49)
(h7,45)
(h0,31)
(i6,83)
(i9,1)
(i5,52)
(i4,20)
(i3,35)
(i2,26)
(i8,65)
(i1,32)
(i0,27)
(j6,55)
(j3,4)
(j1,45)
(j9,74)
(j5,5)
(j4,79)
(k3,20)
(k0,67)
(k5,92)
(k8,100)
(k4,1)
(k7,55)
(k1,10)
(k6,86)
(k2,35)
(k9,73)
(l5,59)
(l4,19)
(l8,62)
(l9,99)
(l1,8)
(l3,97)
(l6,53)
(l0,91)
(l2,88)
(m8,63)
(m7,44)
(m9,98)
(m5,92)
(m6,11)
(m4,92)
(m0,19)
(m2,37)
(m3,13)
(n5,24)
(n3,56)
(n4,41)
(n2,26)
(n1,47)
(n9,28)
(n8,97)
(n7,79)
(o9,20)
(o1,10)
(o3,35)
(o2,89)
(o0,100)
(o8,86)
(o6,2)
(o7,21)
(o5,76)
(p6,38)
(p5,75)
(p0,56)
(p1,81)
(p3,81)
(p9,80)
(p4,9)
(p7,44)
(q1,10)
(q0,23)
(q9,82)
(q7,96)
(q4,86)
(q5,84)
(q6,18)
(q2,8)
(q3,12)
(r5,79)
(r1,56)
(r4,19)
(r2,82)
(r3,0)
(r9,12)
(r8,91)
(r6,74)
(r0,60)
(s4,24)
(s1,85)
(s7,74)
(s9,44)
(s8,59)
(s6,35)
(t3,25)
(t4,86)
(t9,85)
(t2,1)
(t6,37)
(t1,62)
(t8,35)
(t0,68)
(t5,84)
(u6,20)
(u4,43)
(u9,2)
(u1,95)
(u3,19)
(u2,92)
(u5,42)
(u7,42)
(u0,72)
(u8,7)
(v4,50)
(v8,45)
(v9,28)
(v3,49)
(v1,48)
(v6,6)
(v0,95)
(w8,15)
(w5,90)
(w6,59)
(w0,90)
(w2,83)
(w7,20)
(w1,69)
(w4,36)
(w9,26)
(x7,37)
(x3,33)
(x2,22)
(x8,23)
(x0,48)
(x1,61)
(x6,23)
(x4,92)
(y3,51)
(y7,71)
(y4,46)
(y2,49)
(y6,0)
(y9,52)
(y1,95)
(y8,60)
(z2,29)
(z3,76)
(z0,60)
(z6,51)
(z4,9)
(z5,38)
(z8,13)
(z9,0)
(z7,82)
(z1,56)
Waiting...
Waiting...
[(z0,60)]
[(o6,9)]
[(j9,74)]
[(x3,91)]
Waiting...
[(v6,6)]
