[(d2,84)]
[(k9,54)]
[(b7,73)]
Waiting...
[(w2,35)]
[(q6,43)]
Waiting...
[(g1,100)]
(a0,70)
(a7,34)
(a9,15)
(a1,83)
(b2,0)
(b1,2)
(b6,0)
(b4,54)
(b5,42)
(c0,25)
(c8,46)
(c5,57)
(c1,11)
(c4,40)
(c2,32)
(c9,45)
(d5,69)
(d4,49)
(d0,5)
(d7,80)
(d3,37)
(d2,84)
(d1,40)
(e6,37)
(e2,54)
(e5,57)
(e4,49)
(e9,97)
(e8,35)
(e3,18)
(f0,33)
(f5,35)
(f7,61)
(f9,37)
(f4,67)
(f3,83)
(f6,7)
(f2,39)
(g9,18)
(g2,10)
(g5,83)
(g4,16)
(g7,52)
(g1,100)
(g6,22)
(g0,18)
(g3,39)
(h0,90)
(h6,77)
(h8,17)
(h4,2)
(h9,42)
(h5,80)
(h2,33)
(h1,23)
(i8,15)
(i6,77)
(i1,18)
(i7,97)
(i3,86)
(i5,40)
(i0,13)
(j7,94)
(j0,81)
(j6,41)
(j1,0)
(j4,63)
(j8,30)
(j5,81)
(j9,34)
(j3,52)
(j2,42)
(k9,54)
(k0,14)
(k8,21)
(k1,28)
(k4,39)
(k6,51)
(k5,13)
(k7,60)
(l9,56)
(l7,73)
(l5,56)
(l2,3)
(l3,6)
(l8,44)
(l1,60)
(l4,63)
(m0,35)
(m2,60)
(m1,90)
(m6,20)
(m8,2)
(n3,73)
(n1,7)
(n7,44)
(n4,64)
(n9,65)
(n5,91)
(n8,70)
(n6,7)
(n0,67)
(o2,36)
(o7,11)
(o4,45)
(o9,3)
(o1,32)
(o5,35)
(o3,61)
(p4,95)
(p8,52)
(p2,73)
(p5,59)
(p7,49)
(p0,77)
(p1,0)
(p3,27)
(p9,64)
(q2,32)
(q9,16)
(q4,1)
(q0,89)
(q1,88)
(q6,43)
(q7,29)
(q3,34)
(q8,91)
(q5,48)
(r4,33)
(r7,57)
(r1,93)
(r6,65)
(r5,24)
(r8,38)
(r2,71)
(r0,53)
(s5,74)
(s9,54)
(s8,99)
(s2,73)
(s4,7)
(s6,47)
(s7,1)
(t6,99)
(t4,3)
(t3,55)
(t7,70)
(t5,98)
(t2,58)
(t9,1)
(u8,5)
(u9,59)
(u0,43)
(u6,54)
(u3,91)
(u7,17)
(v8,1)
(v1,63)
(v0,73)
(v9,63)
(v3,94)
(v6,4)
(v7,100)
(v5,0)
(v4,44)
(w4,49)
(w2,35)
(w0,47)
(w5,42)
(w3,81)
(w6,73)
(w9,35)
(w1,81)
(x8,64)
(x0,56)
(x9,6)
(x4,11)
(x5,50)
(x1,43)
(x6,18)
(x3,36)
(y5,50)
(y6,91)
(y4,85)
(y7,49)
(y9,76)
(y8,59)
(y2,80)
(y0,45)
(y3,4)
(z5,80)
(z2,91)
(z7,38)
(z1,79)
(z4,25)
(z3,74)
(z9,49)
(z0,31)
(a0,70)
(a7,34)
(a9,15)
(a1,83)
(b2,0)
(b1,2)
(b6,0)
(b4,54)
(b5,42)
(c0,25)
(c8,46)
(c5,57)
(c1,11)
(c4,40)
(c2,32)
(c9,45)
(d5,69)
(d4,49)
(d0,5)
(d7,80)
(d3,37)
(d2,84)
(d1,40)
(e6,37)
(e2,54)
(e5,57)
(e4,49)
(e9,97)
(e8,35)
(e3,18)
(f0,33)
(f5,35)
(f7,61)
(f9,37)
(f4,67)
(f3,83)
(f6,7)
(f2,39)
(g9,18)
(g2,10)
(g5,83)
(g4,16)
(g7,52)
(g1,100)
(g6,22)
(g0,18)
(g3,39)
(h0,90)
(h6,77)
(h8,17)
(h4,2)
(h9,42)
(h5,80)
(h2,33)
(h1,23)
(i8,15)
(i6,77)
(i1,18)
(i7,97)
(i3,86)
(i5,40)
(i0,13)
(j7,94)
(j0,81)
(j6,41)
(j1,0)
(j4,63)
(j8,30)
(j5,81)
(j9,34)
(j3,52)
(j2,42)
(k9,54)
(k0,14)
(k8,21)
(k1,28)
(k4,39)
(k6,51)
(k5,13)
(k7,60)
(l9,56)
(l7,73)
(l5,56)
(l2,3)
(l3,6)
(l8,44)
(l1,60)
(l4,63)
(m0,35)
(m2,60)
(m1,90)
(m6,20)
(m8,2)
(n3,73)
(n1,7)
(n7,44)
(n4,64)
(n9,65)
(n5,91)
(n8,70)
(n6,7)
(n0,67)
(o2,36)
(o7,11)
(o4,45)
(o9,3)
(o1,32)
(o5,35)
(o3,61)
(p4,95)
(p8,52)
(p2,73)
(p5,59)
(p7,49)
(p0,77)
(p1,0)
(p3,27)
(p9,64)
(q2,32)
(q9,16)
(q4,1)
(q0,89)
(q1,88)
(q6,43)
(q7,29)
(q3,34)
(q8,91)
(q5,48)
(r4,33)
(r7,57)
(r1,93)
(r6,65)
(r5,24)
(r8,38)
(r2,71)
(r0,53)
(s5,74)
(s9,54)
(s8,99)
(s2,73)
(s4,7)
(s6,47)
(s7,1)
(t6,99)
(t4,3)
(t3,55)
(t7,70)
(t5,98)
(t2,58)
(t9,1)
(u8,5)
(u9,59)
(u0,43)
(u6,54)
(u3,91)
(u7,17)
(v8,1)
(v1,63)
(v0,73)
(v9,63)
(v3,94)
(v6,4)
(v7,100)
(v5,0)
(v4,44)
(w4,49)
(w2,35)
(w0,47)
(w5,42)
(w3,81)
(w6,73)
(w9,35)
(w1,81)
(x8,64)
(x0,56)
(x9,6)
(x4,11)
(x5,50)
(x1,43)
(x6,18)
(x3,36)
(y5,50)
(y6,91)
(y4,85)
(y7,49)
(y9,76)
(y8,59)
(y2,80)
(y0,45)
(y3,4)
(z5,80)
(z2,91)
(z7,38)
(z1,79)
(z4,25)
(z3,74)
(z9,49)
(z0,31)
(a0,70)
(a7,34)
(a9,15)
(a1,83)
(b2,0)
(b1,2)
(b6,0)
(b4,54)
(b5,42)
(c0,25)
(c8,46)
(c5,57)
(c1,11)
(c4,40)
(c2,32)
(c9,45)
(d5,69)
(d4,49)
(d0,5)
(d7,80)
(d3,37)
(d2,84)
(d1,40)
(e6,37)
(e2,54)
(e5,57)
(e4,49)
(e9,97)
(e8,35)
(e3,18)
(f0,33)
(f5,35)
(f7,61)
(f9,37)
(f4,67)
(f3,83)
(f6,7)
(f2,39)
(g9,18)
(g2,10)
(g5,83)
(g4,16)
(g7,52)
(g1,100)
(g6,22)
(g0,18)
(g3,39)
(h0,90)
(h6,77)
(h8,17)
(h4,2)
(h9,42)
(h5,80)
(h2,33)
(h1,23)
(i8,15)
(i6,77)
(i1,18)
(i7,97)
(i3,86)
(i5,40)
(i0,13)
(j7,94)
(j0,81)
(j6,41)
(j1,0)
(j4,63)
(j8,30)
(j5,81)
(j9,34)
(j3,52)
(j2,42)
(k9,54)
(k0,14)
(k8,21)
(k1,28)
(k4,39)
(k6,51)
(k5,13)
(k7,60)
(l9,56)
(l7,73)
(l5,56)
(l2,3)
(l3,6)
(l8,44)
(l1,60)
(l4,63)
(m0,35)
