[(i9,52)]
(a8,22)
(a6,86)
(a3,9)
(a7,67)
(a9,77)
(a1,94)
(b0,59)
(b5,38)
(b8,86)
(b3,100)
(b2,57)
(b1,81)
(b6,68)
(b4,54)
(c0,62)
(c6,88)
(c7,23)
(c8,84)
(c4,29)
(c2,52)
(d1,75)
(d8,98)
(d3,77)
(d5,69)
(d4,75)
(d0,5)
(d7,31)
(d2,84)
(e0,48)
(e1,96)
(e7,81)
(e2,54)
(e5,57)
(e4,41)
(e9,56)
(e8,62)
(f0,95)
(f5,35)
(f7,93)
(f4,100)
(f3,69)
(g9,71)
(g2,18)
(g5,83)
(g4,29)
(g7,52)
(g1,12)
(g6,89)
(g0,18)
(g3,39)
(h0,58)
(h6,69)
(h8,17)
(h4,66)
(h9,68)
(h2,33)
(h1,41)
(i9,52)
(i2,96)
(i6,70)
(i1,7)
(i7,25)
(i5,69)
(i0,32)
(j0,81)
(j6,41)
(j1,0)
(j4,63)
(j8,83)
(j2,13)
(k3,19)
(k2,97)
(k0,14)
(k8,21)
(k1,15)
(k4,39)
(k6,51)
(k5,13)
(l0,78)
(l6,84)
(l9,56)
(l7,59)
(l5,37)
(l2,3)
(l8,98)
(l1,30)
(l4,60)
(m7,33)
(m6,96)
(m0,78)
(m2,57)
(m1,98)
(m8,2)
(n2,34)
(n3,58)
(n1,7)
(n7,27)
(n9,65)
(n5,30)
(n8,70)
(n6,47)
(n0,100)
(o8,95)
(o9,99)
(o6,51)
(o2,58)
(o7,90)
(o4,45)
(o1,51)
(o5,35)
(o3,7)
(p6,12)
(p8,3)
(p4,98)
(p2,4)
(p5,59)
(p0,77)
(p1,80)
(p3,38)
(p9,64)
(q6,4)
(q2,10)
(q9,4)
(q4,1)
(q0,99)
(q1,88)
(q7,84)
(q3,8)
(q8,91)
(q5,16)
(r1,43)
(r9,21)
(r3,47)
(r6,56)
(r5,24)
(r8,1)
(r2,62)
(r0,53)
(s3,57)
(s1,18)
(s5,74)
(s9,80)
(s8,99)
(s2,73)
(s4,89)
(s6,47)
(s7,12)
(t0,8)
(t4,3)
(t7,70)
(t5,91)
(t2,58)
(t9,13)
(u5,69)
(u1,38)
(u8,5)
(u9,10)
(u0,11)
(u6,99)
(u3,30)
(u7,73)
(v2,71)
(v8,1)
(v1,63)
(v0,73)
(v3,94)
(v6,4)
(v5,54)
(v4,44)
(w4,26)
(w0,47)
(w5,42)
(w3,81)
(w6,73)
(w9,23)
(w1,81)
(x0,56)
(x9,78)
(x4,71)
(x5,91)
(x1,100)
(x6,88)
(y8,44)
(y5,19)
(y6,50)
(y4,74)
(y7,49)
(y9,26)
(y0,45)
(y3,4)
(z3,48)
(z8,9)
(z5,57)
(z2,91)
(z7,38)
(z1,79)
(z4,25)
(z9,49)
(z0,31)
[(m1,98)]
[(m5,68)]
(a8,22)
(a6,10)
(a3,9)
(a7,67)
(a9,77)
(a1,94)
(b0,59)
(b5,38)
(b8,86)
(b3,100)
(b2,57)
(b1,81)
(b6,68)
(b4,54)
(c0,62)
(c6,88)
(c7,23)
(c8,84)
(c4,29)
(c2,52)
(d1,75)
(d8,98)
(d3,77)
(d5,69)
(d4,75)
(d0,5)
(d7,31)
(d2,84)
(e0,18)
(e1,96)
(e7,81)
(e2,54)
(e5,57)
(e4,41)
(e9,56)
