[(i2,90)]
(a3,18)
(a2,59)
(a0,38)
(a5,95)
(a6,97)
(a4,96)
(a7,17)
(b9,64)
(b7,39)
(b3,48)
(b0,5)
(b8,30)
(b1,31)
(c9,87)
(c5,83)
(c8,69)
(c2,81)
(c0,1)
(c6,14)
(c7,23)
(d4,60)
(d7,80)
(d6,43)
(d2,86)
(d3,83)
(d9,92)
(d1,57)
(d8,73)
(d0,40)
(e2,2)
(e5,32)
(e0,81)
(e6,10)
(e3,1)
(e1,96)
(e7,81)
(e4,66)
(e8,27)
(f2,7)
(f0,67)
(f1,38)
(f5,32)
(f7,59)
(f4,43)
(f3,48)
(g2,76)
(g9,23)
(g5,34)
(g4,77)
(g7,91)
(g1,41)
(g6,48)
(g3,74)
(h6,63)
(h3,19)
(h7,47)
(h5,17)
(h0,58)
(h8,25)
(h4,1)
(h1,89)
(i3,82)
(i8,84)
(i9,57)
(i4,45)
(i1,10)
(i7,0)
(i5,9)
(i0,32)
(j7,14)
(j8,68)
(j5,45)
(j0,77)
(j6,98)
(j1,17)
(j4,56)
(j2,13)
(k7,81)
(k9,99)
(k5,75)
(k3,13)
(k0,34)
(k1,15)
(k4,46)
(k6,94)
(l5,98)
(l1,11)
(l3,10)
(l6,100)
(l9,22)
(l0,73)
(l2,70)
(l8,36)
(l4,82)
(m9,83)
(m8,84)
(m7,81)
(m4,91)
(m3,2)
(m1,84)
(m0,8)
(m6,88)
(m2,64)
(n0,24)
(n4,54)
(n2,89)
(n3,66)
(n1,30)
(n7,27)
(n5,8)
(n6,88)
(o1,45)
(o3,85)
(o0,4)
(o8,84)
(o6,3)
(o2,34)
(o7,57)
(o5,2)
(p5,6)
(p9,71)
(p4,24)
(p7,62)
(p6,95)
(p8,74)
(p2,81)
(p1,5)
(p3,34)
(q4,22)
(q5,79)
(q1,80)
(q6,58)
(q2,59)
(q9,0)
(q0,55)
(q3,28)
(r8,51)
(r4,92)
(r7,88)
(r1,44)
(r3,47)
(r6,35)
(r2,64)
(r0,0)
(s0,11)
(s3,70)
(s1,72)
(s9,94)
(s8,99)
(s6,61)
(s7,99)
(t4,27)
(t8,43)
(t1,20)
(t2,25)
(t0,8)
(t7,93)
(t5,71)
(u0,44)
(u2,57)
(u5,9)
(u1,1)
(u8,78)
(u9,51)
(u6,76)
(u3,45)
(v2,4)
(v6,67)
(v9,86)
(v7,94)
(v0,30)
(v8,1)
(v3,79)
(v5,19)
(w1,91)
(w2,75)
(w8,14)
(w7,5)
(w6,54)
(w5,67)
(w4,78)
(w0,12)
(w3,78)
(w9,82)
(x6,49)
(x9,27)
(x7,93)
(x8,97)
(x2,19)
(x0,28)
(x4,21)
(x5,42)
(y4,61)
(y3,94)
(y2,40)
(y1,62)
(y8,70)
(y5,77)
(y6,37)
(y7,49)
(y0,92)
(z0,12)
(z2,95)
(z7,79)
(z3,30)
(z8,33)
(z5,10)
(z1,88)
(z4,27)
[(w0,16)]
[(g7,91)]
[(x3,8)]
[(r3,29)]
[(m1,62)]
[(i3,38)]
[(x3,8)]
Waiting...
[(v9,19)]
