Waiting...
[(m1,45)]
(a1,74)
(a3,3)
(a5,11)
(a9,66)
(a2,35)
(a0,33)
(a4,85)
(a7,7)
(b6,72)
(b7,100)
(b8,5)
(b5,73)
(b4,82)
(b9,82)
(b0,46)
(b1,22)
(c4,70)
(c6,45)
(c9,71)
(c2,62)
(c3,65)
(c1,4)
(c5,98)
(c7,45)
(d4,48)
(d6,25)
(d5,11)
(d7,91)
(d2,58)
(d3,54)
(d8,78)
(d0,3)
(e4,41)
(e3,48)
(e7,55)
(e8,89)
(e2,94)
(e0,45)
(e6,83)
(f7,75)
(f8,10)
(f9,96)
(f0,27)
(f4,14)
(f3,30)
(g2,71)
(g0,85)
(g6,13)
(g8,61)
(g4,17)
(g9,54)
(g5,72)
(g7,56)
(g3,72)
(h8,3)
(h6,55)
(h9,27)
(h2,29)
(h3,70)
(h7,71)
(h5,52)
(h0,93)
(i4,54)
(i3,95)
(i2,52)
(i6,41)
(i8,84)
(i1,70)
(i0,32)
(j6,88)
(j3,26)
(j8,77)
(j1,9)
(j2,83)
(j9,1)
(j5,32)
(j0,65)
(j4,81)
(k7,2)
(k1,57)
(k6,3)
(k2,23)
(k9,59)
(l9,94)
(l1,8)
(l3,56)
(l6,31)
(l0,78)
(l2,7)
(m1,45)
(m4,14)
(m0,38)
(m2,68)
(m9,11)
(m8,71)
(m7,44)
(m3,83)
(n1,40)
(n6,96)
(n9,8)
(n8,88)
(n7,8)
(o4,38)
(o9,91)
(o0,95)
(o8,33)
(o6,64)
(o7,67)
(o5,87)
(p3,90)
(p5,76)
(p9,30)
(p4,85)
(p7,18)
(p8,73)
(q9,82)
(q8,8)
(q7,48)
(q4,55)
(q5,20)
(q6,43)
(q2,10)
(q3,42)
(r2,31)
(r5,68)
(r9,54)
(r8,3)
(r4,74)
(r7,55)
(r1,63)
(r6,26)
(r0,46)
(s4,17)
(s2,67)
(s5,75)
(s3,82)
(s9,94)
(s8,34)
(s6,42)
(t1,68)
(t6,45)
(t4,32)
(t8,17)
(t2,84)
(t0,31)
(t7,62)
(t5,54)
(u6,85)
(u5,41)
(u7,34)
(u0,44)
(u8,98)
(v7,70)
(v1,20)
(v6,3)
(v0,46)
(v2,74)
(v5,14)
(w4,40)
(w9,34)
(w8,58)
(w6,19)
(w5,48)
(w3,31)
(x3,44)
(x7,90)
(x8,27)
(x1,17)
(x9,11)
(x6,23)
(x4,29)
(x5,72)
(y0,49)
(y2,15)
(y3,41)
(y7,53)
(y6,81)
(y9,25)
(y4,97)
(y1,51)
(y8,76)
(y5,98)
(z3,43)
(z8,12)
(z9,58)
(z2,95)
(z7,60)
(z1,71)
[(e3,59)]
[(f9,96)]
[(i6,42)]
[(m8,71)]
Waiting...
[(t9,99)]
[(y1,84)]
Waiting...
[(t3,100)]
[(o7,66)]
[(c5,98)]
