[(u7,30)]
(a3,18)
(a2,59)
(a9,61)
(a0,38)
(a5,95)
(a6,51)
(a4,95)
(a7,17)
(b9,64)
(b4,99)
(b7,39)
(b3,54)
(b0,38)
(b8,30)
(b1,31)
(c5,83)
(c8,81)
(c2,81)
(c0,48)
(c6,44)
(c7,23)
(d6,43)
(d2,86)
(d3,83)
(d9,92)
(d1,57)
(d8,57)
(d0,40)
(e2,65)
(e5,32)
(e0,6)
(e6,88)
(e3,1)
(e1,96)
(e7,81)
(e4,41)
(e8,27)
(f2,7)
(f0,67)
(f1,38)
(f5,32)
(f7,59)
(f4,100)
(f3,91)
(g9,23)
(g5,34)
(g4,77)
(g7,80)
(g1,41)
(g6,79)
(g3,75)
(h3,19)
(h7,96)
(h5,54)
(h0,58)
(h6,81)
(h8,17)
(h4,1)
(h9,68)
(h1,89)
(i3,82)
(i8,75)
(i9,57)
(i4,23)
(i6,0)
(i1,10)
(i7,25)
(i5,49)
(i0,32)
(j8,68)
(j5,45)
(j9,22)
(j0,77)
(j6,98)
(j1,17)
(j4,56)
(j2,13)
(k9,99)
(k5,75)
(k3,13)
(k7,35)
(k2,68)
(k0,34)
(k8,21)
(k1,15)
(k4,46)
(k6,94)
(l1,11)
(l3,10)
(l6,100)
(l9,7)
(l0,47)
(l2,70)
(l8,36)
(l4,82)
(m7,81)
(m4,91)
(m3,2)
(m1,35)
(m0,0)
(m6,65)
(m2,65)
(n0,24)
(n4,3)
(n2,89)
(n3,64)
(n1,30)
(n7,27)
(n9,29)
(n5,72)
(n6,47)
(o1,45)
(o3,85)
(o0,4)
(o8,73)
(o9,37)
(o6,3)
(o2,34)
(o7,57)
(o5,2)
(p9,71)
(p4,34)
(p7,62)
(p6,95)
(p8,74)
(p2,81)
(p1,5)
(p3,34)
(q1,80)
(q6,63)
(q2,31)
(q9,0)
(q0,99)
(q3,28)
(q8,57)
(r8,51)
(r4,92)
(r7,88)
(r1,44)
(r3,97)
(r6,35)
(r5,24)
(r2,64)
(r0,0)
(s0,55)
(s3,32)
(s1,18)
(s9,94)
(s8,99)
(s2,7)
(s4,44)
(s6,61)
(s7,99)
(t4,87)
(t8,43)
(t1,20)
(t2,25)
(t6,64)
(t0,8)
(t7,9)
(t5,71)
(u0,44)
(u2,49)
(u5,60)
(u1,38)
(u8,78)
(u9,61)
(u6,76)
(u3,45)
(v2,4)
(v6,67)
(v9,29)
(v7,94)
(v0,30)
(v8,1)
(v1,24)
(v3,79)
(v5,19)
(v4,92)
(w7,2)
(w6,100)
(w5,67)
(w4,26)
(w0,12)
(w3,98)
(w9,82)
(x6,49)
(x9,27)
(x7,93)
(x8,15)
(x2,40)
(x0,28)
(x4,21)
(x5,10)
(x1,62)
(y2,40)
(y1,62)
(y8,70)
(y5,77)
(y6,37)
(y7,49)
(y9,35)
(y0,92)
(z6,100)
(z2,95)
(z7,79)
(z3,30)
(z8,59)
(z5,10)
(z1,88)
(z4,27)
Waiting...
(a3,18)
(a2,59)
(a9,61)
(a0,38)
(a5,95)
(a6,51)
(a4,95)
(a7,17)
(b9,64)
(b4,99)
(b7,39)
(b3,54)
(b0,38)
(b8,30)
(b1,31)
(c5,83)
(c8,81)
(c2,81)
(c0,48)
(c6,44)
(c7,23)
(d6,43)
(d2,86)
(d3,83)
(d9,92)
(d1,57)
(d8,57)
(d0,40)
(e2,65)
(e5,32)
(e0,6)
(e6,88)
(e3,1)
(e1,96)
(e7,81)
(e4,41)
(e8,27)
(f2,7)
(f0,67)
(f1,38)
(f5,32)
(f7,59)
(f4,100)
(f3,91)
(g9,23)
(g5,34)
(g4,77)
(g7,80)
(g1,41)
(g6,79)
(g3,75)
(h3,19)
(h7,96)
(h5,54)
(h0,58)
(h6,81)
(h8,17)
(h4,1)
(h9,68)
(h1,89)
(i3,82)
(i8,75)
(i9,57)
(i4,23)
(i1,10)
(i7,25)
(i5,49)
(i0,32)
(j8,68)
(j5,45)
(j9,22)
(j0,77)
(j6,98)
(j1,17)
(j4,56)
(j2,13)
(k9,99)
(k5,75)
(k3,13)
(k7,35)
(k2,68)
(k0,34)
(k8,21)
(k1,15)
(k4,46)
(k6,94)
(l1,11)
(l3,10)
(l6,100)
(l9,7)
(l0,47)
(l2,70)
(l8,36)
(l4,82)
(m7,81)
(m4,91)
(m3,2)
(m1,35)
(m0,0)
(m6,65)
(m2,65)
(n0,24)
(n4,3)
(n2,89)
(n3,64)
(n1,30)
(n7,27)
(n9,29)
(n5,72)
(n6,47)
(o1,45)
(o3,85)
(o0,4)
(o8,73)
(o9,37)
(o6,3)
(o2,34)
(o7,57)
(o5,2)
(p9,71)
(p4,34)
(p7,62)
(p6,95)
(p8,74)
(p2,81)
(p1,5)
(p3,34)
(q1,80)
(q6,63)
(q2,31)
(q9,0)
(q0,99)
(q3,28)
(r8,51)
(r4,92)
(r7,88)
(r1,44)
(r3,97)
(r6,35)
(r5,24)
(r2,64)
(r0,0)
(s0,55)
(s3,32)
(s1,18)
(s9,94)
(s8,99)
(s2,7)
(s4,44)
(s6,61)
(s7,99)
(t4,87)
(t8,43)
(t1,20)
(t2,25)
(t6,64)
(t0,8)
(t7,9)
(t5,71)
(u0,44)
(u2,49)
(u5,60)
(u1,38)
(u8,78)
(u9,61)
(u6,76)
(u3,45)
(v2,4)
(v6,67)
(v9,29)
(v7,94)
(v0,30)
(v8,1)
(v1,24)
(v3,79)
(v5,19)
(v4,92)
(w7,2)
(w6,100)
(w5,67)
(w4,26)
(w0,12)
(w3,98)
(w9,82)
(x6,49)
(x9,27)
(x7,93)
(x8,15)
(x2,40)
(x0,28)
(x4,21)
(x5,10)
(x1,62)
(y2,40)
(y1,62)
(y8,70)
(y5,77)
(y6,37)
(y7,49)
(y9,35)
(y0,92)
(z6,100)
(z2,95)
(z7,79)
(z3,30)
(z8,59)
(z5,10)
(z1,88)
(z4,27)
[(a9,61)]
[(r0,0)]
Waiting...
[(s2,7)]
[(u5,9)]
(a3,18)
(a2,59)
(a9,61)
(a0,38)
(a5,95)
(a6,51)
(a4,57)
(a7,17)
(b9,64)
(b4,99)
(b7,39)
(b3,48)
(b0,38)
(b8,30)
(b1,31)
(c5,83)
(c8,81)
(c2,81)
(c0,48)
(c6,44)
(c7,23)
(d6,43)
(d2,86)
(d3,83)
(d9,92)
(d1,57)
(d8,57)
(d0,40)
(e2,65)
(e5,32)
(e0,6)
(e6,88)
(e3,1)
(e1,96)
(e7,81)
(e4,41)
(e8,27)
(f2,7)
(f0,67)
(f1,38)
(f5,32)
(f7,59)
(f4,100)
(f3,91)
(g9,23)
(g5,34)
(g4,77)
(g7,80)
(g1,41)
(g6,79)
(g3,75)
(h3,19)
(h7,96)
(h5,54)
(h0,58)
(h6,81)
(h8,17)
(h4,1)
(h9,68)
(h1,89)
(i3,82)
(i8,75)
(i9,57)
(i4,45)
(i1,10)
(i7,25)
(i5,49)
(i0,32)
(j8,68)
(j5,45)
(j9,22)
(j0,77)
(j6,98)
(j1,17)
(j4,56)
(j2,13)
(k9,99)
(k5,75)
(k3,13)
(k7,35)
(k2,25)
(k0,34)
(k8,21)
(k1,15)
(k4,46)
(k6,94)
(l1,11)
