Waiting...
[(r0,92)]
[(u4,57)]
Waiting...
[(g9,39)]
(a6,48)
(a7,75)
(a0,33)
(a5,33)
(a2,9)
(a1,34)
(b6,6)
(b3,25)
(b4,1)
(b5,8)
(b9,91)
(b8,96)
(b2,60)
(b7,61)
(c7,39)
(c3,64)
(c8,40)
(c9,78)
(c1,23)
(d2,24)
(d1,36)
(d3,54)
(d7,42)
(d8,53)
(d4,85)
(d6,29)
(e4,39)
(e1,45)
(e0,84)
(e6,69)
(e9,91)
(e5,50)
(e3,89)
(e8,26)
(e7,46)
(f3,36)
(f1,83)
(f9,6)
(f7,2)
(f8,35)
(g9,39)
(g3,50)
(g2,24)
(g4,53)
(g6,70)
(g8,65)
(g5,12)
(g7,6)
(h5,21)
(h2,7)
(h6,93)
(h8,36)
(h7,97)
(h9,5)
(h3,51)
(h0,89)
(i8,83)
(i6,18)
(i2,34)
(i9,31)
(i7,88)
(i1,9)
(i3,26)
(i5,5)
(j3,100)
(j5,98)
(j9,0)
(j2,72)
(j8,88)
(j1,21)
(j4,4)
(j0,7)
(k8,20)
(k7,61)
(k4,24)
(k9,69)
(k2,20)
(k3,92)
(l0,57)
(l2,9)
(l1,13)
(l6,78)
(l7,19)
(l3,21)
(l8,81)
(m3,83)
(m4,6)
(m7,69)
(m1,15)
(m9,11)
(m6,52)
(m0,88)
(n6,67)
(n1,24)
(n5,56)
(n9,80)
(n4,17)
(o5,79)
(o0,28)
(o9,43)
(o4,58)
(o1,30)
(o2,91)
(p8,29)
(p2,58)
(p7,28)
(p3,24)
(q9,25)
(q4,33)
(q3,71)
(q7,81)
(q5,64)
(q1,64)
(q6,81)
(r8,28)
(r7,88)
(r2,16)
(r6,69)
(r9,14)
(r1,73)
(s7,55)
(s1,7)
(s6,44)
(s5,18)
(s3,44)
(t1,1)
(t8,71)
(t9,80)
(t5,79)
(t2,19)
(t0,42)
(u1,44)
(u0,51)
(u8,80)
(u9,36)
(u6,69)
(u7,37)
(u3,32)
(v3,62)
(v5,0)
(v8,62)
(v6,18)
(v2,63)
(w5,15)
(w2,94)
(w1,55)
(w8,86)
(w9,98)
(w7,80)
(w6,71)
(w4,23)
(w0,33)
(x3,80)
(x1,13)
(x9,19)
(x5,16)
(x0,17)
(y7,2)
(y4,75)
(y1,38)
(y5,91)
(y3,32)
(y0,72)
(y6,40)
(z3,33)
(z8,2)
(z1,14)
(z6,39)
(z0,53)
(z4,98)
(z9,1)
[(l6,78)]
[(d3,23)]
[(h1,62)]
Waiting...
[(q5,37)]
[(q0,26)]
[(q7,61)]
[(q0,26)]
Waiting...
[(r4,67)]
