[(f3,24)]
Waiting...
[(m9,29)]
(a9,79)
(a4,5)
(a3,89)
(a8,59)
(a6,49)
(a0,33)
(a5,33)
(a2,52)
(a1,42)
(b4,83)
(b8,8)
(b2,46)
(b0,16)
(b1,81)
(b6,22)
(b5,86)
(b9,7)
(b7,55)
(c2,13)
(c4,10)
(c0,52)
(c8,91)
(d1,25)
(d8,26)
(d4,84)
(d3,2)
(d5,52)
(d0,63)
(d6,19)
(d2,98)
(e5,44)
(e0,73)
(e2,91)
(e6,87)
(e4,40)
(e9,8)
(e8,100)
(f6,22)
(f4,35)
(f8,29)
(f2,69)
(f9,95)
(f5,55)
(f3,24)
(f1,83)
(g1,12)
(g7,37)
(g9,21)
(g2,44)
(g4,93)
(g0,53)
(g3,4)
(g6,47)
(g5,61)
(h8,78)
(h4,50)
(h0,79)
(h9,9)
(h7,39)
(h5,87)
(h6,93)
(i5,49)
(i0,27)
(i8,10)
(i1,90)
(i7,35)
(i4,8)
(i6,64)
(i2,50)
(i9,31)
(i3,83)
(j3,62)
(j2,62)
(j0,42)
(j8,95)
(j6,6)
(j7,66)
(j5,51)
(j9,58)
(j1,23)
(j4,38)
(k3,11)
(k6,36)
(k5,54)
(k0,50)
(k2,31)
(k8,22)
(k7,96)
(k4,2)
(k9,69)
(l1,20)
(l9,8)
(l5,44)
(l6,35)
(l4,61)
(l0,50)
(l7,41)
(l8,18)
(m5,5)
(m9,29)
(m2,0)
(m6,81)
(m8,100)
(m7,51)
(m3,43)
(m4,40)
(m0,2)
(n9,28)
(n3,85)
(n2,70)
(n8,6)
(n0,1)
(n1,84)
(n7,85)
(n6,99)
(n4,34)
(o3,36)
(o1,87)
(o4,75)
(o7,65)
(o8,62)
(o9,47)
(p5,75)
(p7,59)
(p6,6)
(p4,14)
(p1,88)
(p0,41)
(p9,36)
(p8,76)
(p3,72)
(q6,90)
(q7,55)
(q5,19)
(q2,25)
(q8,8)
(q0,73)
(q4,98)
(q1,30)
(r7,94)
(r9,54)
(r3,41)
(r5,15)
(r0,24)
(r4,65)
(r8,50)
(r2,50)
(r6,50)
(s9,98)
(s8,14)
(s3,23)
(s1,31)
(s2,10)
(s0,37)
(s7,34)
(t7,67)
(t5,52)
(t4,74)
(t3,72)
(t0,87)
(t6,76)
(t8,63)
(u7,25)
(u3,7)
(u0,10)
(u4,71)
(u1,0)
(u9,27)
(u6,14)
(v7,45)
(v5,89)
(v4,78)
(v1,13)
(v8,63)
(v3,3)
(v6,55)
(v2,54)
(w1,40)
(w4,91)
(w6,68)
(w7,59)
(w9,18)
(w3,66)
(w2,89)
(w5,49)
(w8,80)
(w0,38)
(x6,33)
(x2,14)
(x5,52)
(x4,44)
(x7,12)
(x3,66)
(x1,6)
(x0,17)
(y2,94)
(y3,45)
(y8,78)
(y9,4)
(y7,11)
(y4,39)
(y1,2)
(y5,91)
(z7,42)
(z6,59)
(z5,35)
(z0,8)
(z3,66)
(z8,7)
[(o3,36)]
[(e6,87)]
(a9,79)
(a4,50)
(a3,89)
(a8,59)
(a6,49)
(a0,33)
(a5,33)
(a2,52)
(a1,42)
(b4,83)
(b8,8)
(b2,26)
(b0,16)
(b1,81)
(b6,22)
(b5,86)
(b9,7)
(b7,55)
(c2,13)
(c4,10)
(c0,52)
(c8,91)
(d1,25)
(d8,26)
(d4,84)
(d3,2)
(d5,52)
(d0,63)
(d6,19)
(d2,98)
(e5,44)
(e0,73)
(e2,91)
(e6,87)
(e4,40)
(e9,8)
(e8,100)
(f6,22)
(f4,35)
(f8,29)
(f2,69)
(f9,95)
(f5,35)
(f3,24)
(f1,83)
(g1,12)
(g7,37)
(g9,21)
(g2,44)
(g4,93)
(g0,53)
(g3,4)
(g6,47)
(g5,61)
(h8,78)
(h4,50)
(h0,79)
(h9,9)
(h7,39)
(h5,87)
(h6,93)
(i5,49)
(i0,27)
(i8,10)
(i1,90)
(i7,35)
(i4,23)
(i6,64)
(i2,50)
(i9,31)
(i3,83)
(j3,62)
(j2,62)
(j0,42)
(j8,95)
(j6,6)
(j7,66)
(j5,51)
(j9,81)
(j1,23)
(j4,38)
(k3,11)
(k6,36)
(k5,54)
(k0,50)
(k2,31)
(k8,22)
(k7,96)
(k4,2)
(k9,69)
(l1,20)
(l9,8)
(l5,44)
(l6,35)
(l4,61)
(l0,50)
(l7,41)
(l8,18)
(m1,27)
(m5,5)
(m2,0)
(m6,81)
(m8,100)
(m7,51)
(m3,43)
(m4,40)
(m0,2)
(n9,28)
(n3,85)
(n2,70)
(n8,6)
(n0,1)
(n1,84)
(n7,85)
(n6,99)
(n4,34)
(o3,36)
(o1,87)
(o4,75)
(o7,65)
(o8,62)
(o9,47)
(p5,75)
(p7,59)
(p6,6)
(p4,14)
(p1,88)
(p0,41)
(p9,36)
(p8,76)
(p3,72)
(q6,90)
(q7,55)
(q5,19)
(q2,25)
(q8,8)
(q4,98)
(q1,30)
(r7,94)
(r9,54)
(r3,41)
(r5,15)
(r0,24)
(r4,65)
(r8,50)
(r2,50)
(r6,50)
(s9,98)
(s8,14)
(s3,23)
(s1,31)
(s2,10)
(s0,37)
(s7,34)
(t7,67)
(t5,52)
(t4,74)
(t3,72)
(t0,87)
(t6,76)
(t8,63)
(u7,25)
(u3,7)
(u0,10)
(u4,71)
(u1,0)
(u9,27)
(u6,14)
(v0,38)
(v7,45)
(v5,89)
(v4,78)
(v1,13)
(v8,63)
(v3,3)
(v6,55)
(v2,54)
(w1,40)
(w4,91)
(w6,68)
(w7,59)
(w9,18)
(w3,66)
(w2,89)
(w5,49)
(w8,80)
(w0,38)
(x6,33)
(x2,14)
(x5,52)
(x4,44)
(x7,12)
(x3,66)
(x1,6)
(x0,17)
(y2,94)
(y3,45)
(y8,78)
(y9,4)
(y7,11)
(y4,39)
(y1,2)
(y5,91)
(z7,95)
(z6,59)
(z5,35)
(z0,8)
(z3,66)
(z8,7)
Waiting...
[(m5,5)]
[(x3,30)]
(a7,85)
(a9,79)
(a4,50)
(a3,76)
(a8,59)
(a6,49)
(a0,33)
(a5,33)
(a2,52)
(a1,42)
(b4,83)
(b8,8)
(b2,26)
(b0,16)
(b1,81)
(b6,22)
(b5,50)
(b9,7)
(b7,55)
(c3,65)
(c2,13)
(c4,10)
(c0,52)
(c8,91)
(d1,25)
(d8,53)
(d4,84)
(d3,2)
(d5,52)
(d0,63)
(d6,19)
(d2,98)
(e7,67)
(e5,15)
(e0,73)
(e2,91)
(e6,87)
(e4,40)
(e8,100)
(f6,22)
(f4,37)
(f8,29)
(f2,69)
(f9,91)
(f5,35)
(f3,24)
(f1,83)
(g1,12)
(g7,37)
(g9,21)
(g2,43)
(g4,93)
(g0,3)
(g3,4)
(g5,61)
(h8,78)
(h4,50)
(h0,79)
(h9,9)
(h7,39)
(h5,87)
(h6,93)
(i0,27)
(i8,10)
(i1,1)
(i7,35)
(i4,23)
(i6,11)
(i2,50)
(i9,43)
(i3,83)
(j3,62)
(j2,62)
(j0,100)
(j8,95)
(j6,6)
(j7,66)
(j5,51)
(j9,81)
(j1,23)
(j4,38)
(k3,11)
(k6,36)
(k5,54)
(k0,50)
(k2,31)
(k8,22)
(k7,96)
(k4,2)
(k9,69)
(l1,20)
(l9,54)
(l5,44)
(l6,35)
(l4,61)
(l0,50)
(l7,41)
(l8,18)
(m1,27)
(m5,5)
(m2,0)
(m6,81)
(m8,100)
(m7,51)
(m3,43)
(m4,40)
(m0,2)
(n9,28)
(n3,85)
(n2,70)
(n8,6)
(n0,1)
(n1,84)
(n7,85)
(n6,99)
(n4,47)
(o5,37)
(o3,36)
(o1,87)
(o4,75)
(o7,65)
(o8,62)
(o9,47)
(p5,75)
(p7,59)
(p6,6)
(p4,14)
(p1,88)
