[(g8,44)]
Waiting...
(a9,57)
(a8,87)
(a0,46)
(a4,73)
(a6,82)
(a2,56)
(a3,30)
(a1,58)
(a7,27)
(b3,76)
(b9,27)
(b7,50)
(b6,30)
(b5,64)
(b8,38)
(b2,87)
(c7,47)
(c0,62)
(c3,85)
(c2,48)
(c9,78)
(c8,12)
(c5,12)
(c6,10)
(c4,9)
(d4,25)
(d6,64)
(d7,14)
(d2,23)
(d9,79)
(d3,42)
(d8,70)
(d5,88)
(e8,82)
(e2,100)
(e3,80)
(e7,62)
(e6,15)
(e1,52)
(e9,89)
(f4,79)
(f7,3)
(f3,66)
(f5,6)
(f0,64)
(f2,16)
(f9,62)
(g4,28)
(g7,63)
(g5,7)
(g0,68)
(g9,34)
(g6,35)
(g1,56)
(g2,71)
(g8,44)
(h4,9)
(h3,95)
(h7,55)
(h0,16)
(h5,32)
(h6,57)
(h9,90)
(i0,44)
(i6,7)
(i5,49)
(i2,40)
(i3,92)
(i7,51)
(i1,69)
(i9,57)
(i4,22)
(i8,92)
(j4,58)
(j3,85)
(j8,24)
(j5,46)
(j6,5)
(j2,91)
(j0,66)
(j9,76)
(j1,93)
(k4,80)
(k6,71)
(k0,9)
(k2,98)
(k9,27)
(k8,56)
(l2,89)
(l1,9)
(l7,0)
(l3,94)
(l6,100)
(l5,59)
(l9,70)
(l0,40)
(m0,60)
(m3,29)
(m4,39)
(m1,84)
(m9,41)
(m8,1)
(m7,94)
(m5,89)
(m2,95)
(n4,9)
(n2,58)
(n6,42)
(n1,24)
(n0,57)
(n8,95)
(n9,20)
(n5,88)
(o4,77)
(o5,26)
(o9,3)
(o3,84)
(o6,66)
(o1,51)
(o8,77)
(o7,56)
(p7,28)
(p3,20)
(p8,88)
(p1,91)
(p2,3)
(p4,2)
(p9,93)
(p6,26)
(p5,96)
(p0,12)
(q9,12)
(q7,5)
(q8,44)
(q5,93)
(q6,41)
(q4,66)
(q1,37)
(r9,85)
(r7,31)
(r6,100)
(r4,31)
(r5,58)
(r3,87)
(r8,70)
(r1,1)
(r0,90)
(s2,38)
(s7,29)
(s4,0)
(s3,84)
(s1,45)
(s8,85)
(t7,42)
(t0,75)
(t2,21)
(t1,14)
(t8,27)
(t6,17)
(t9,88)
(t3,90)
(u5,68)
(u7,56)
(u3,69)
(u6,1)
(u0,32)
(u8,98)
(u4,59)
(u1,53)
(v6,99)
(v0,35)
(v5,34)
(v8,14)
(v7,43)
(v9,95)
(w8,34)
(w3,63)
(w6,1)
(w7,12)
(w9,64)
(w4,88)
(w0,25)
(w1,38)
(x5,34)
(x9,50)
(x3,0)
(x2,52)
(x0,74)
(x6,65)
(x1,46)
(x8,99)
(x7,31)
(y3,65)
(y5,12)
(y6,64)
(y4,61)
(y0,25)
(y7,92)
(z8,84)
(z0,65)
(z1,69)
(z7,81)
(z4,100)
(z6,88)
(z3,69)
(z2,0)
[(p3,20)]
